card_id,card_type,rarity,energy_cost,effective_cost,raw_value,per_cost_value,score,unscored_reason
BACKSTAB,Attack,Uncommon,0.0,0.5,11.0,22.0,0.37112010796221484,
BAD_LUCK,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
BALL_LIGHTNING,Attack,Common,1.0,1.0,9.0,9.0,0.1518218623481788,
BANSHEES_CRY,Attack,Rare,9.0,9.0,39.0,4.333333333333333,0.07309941520467868,
BARRAGE,Attack,Common,1.0,1.0,5.0,5.0,0.08434547908232155,
BARRICADE,Power,Rare,3.0,3.0,4.0,1.3333333333333333,0.022492127755285744,
BASH,Attack,Basic,2.0,2.0,11.0,5.5,0.09278002699055371,
BATTLE_TRANCE,Skill,Uncommon,0.0,0.5,9.0,18.0,0.3036437246963576,
BEACON_OF_HOPE,Power,Rare,2.0,,,,,deck_eval_excluded:multiplayer_only
BEAM_CELL,Attack,Common,0.0,0.5,4.5,9.0,0.1518218623481788,
BEAT_DOWN,Skill,Rare,3.0,3.0,9.0,3.0,0.05060728744939293,
BEAT_INTO_SHAPE,Attack,Rare,1.0,1.0,5.0,5.0,0.08434547908232155,
BECKON,Status,Status,1.0,,,,,deck_eval_excluded:curse_status
BEGONE,Skill,Common,1.0,1.0,26.431143790849674,26.431143790849674,0.44586949714658886,
BELIEVE_IN_YOU,Skill,Uncommon,0.0,,,,,deck_eval_excluded:multiplayer_only
BIASED_COGNITION,Power,Ancient,1.0,1.0,7.5,7.5,0.12651821862348234,
BIG_BANG,Skill,Rare,0.0,0.5,8.0,16.0,0.26990553306342896,
BLACK_HOLE,Power,Uncommon,1.0,1.0,4.5,4.5,0.0759109311740894,
BLADE_DANCE,Skill,Common,1.0,1.0,9.0,9.0,0.1518218623481788,
BLADE_OF_INK,Skill,Rare,1.0,1.0,6.0,6.0,0.10121457489878587,
BLADE_SYMPHONY,Skill,Uncommon,2.0,,,,,deck_eval_excluded:multiplayer_only
BLAZE,Skill,Uncommon,2.0,,,,,deck_eval_excluded:multiplayer_only
BLIGHT_STRIKE,Attack,Common,1.0,1.0,8.0,8.0,0.13495276653171448,
BLOODLETTING,Skill,Uncommon,0.0,0.5,3.0,6.0,0.10121457489878587,
BLOOD_WALL,Skill,Common,2.0,2.0,14.0,7.0,0.11808367071525017,
BLUDGEON,Attack,Uncommon,3.0,3.0,32.0,10.666666666666666,0.17993702204228595,
BLUR,Skill,Uncommon,1.0,1.0,5.0,5.0,0.08434547908232155,
BODYGUARD,Skill,Basic,1.0,1.0,5.0,5.0,0.08434547908232155,
BODY_SLAM,Attack,Common,1.0,1.0,1.0,1.0,0.01686909581646431,
BOLAS,Attack,Rare,0.0,0.5,3.0,6.0,0.10121457489878587,
BOMBARDMENT,Attack,Rare,3.0,3.0,18.0,6.0,0.10121457489878587,
BONE_SHARDS,Attack,Uncommon,1.0,1.0,18.0,18.0,0.3036437246963576,
BOOST_AWAY,Skill,Common,0.0,0.5,4.0,8.0,0.13495276653171448,
BOOT_SEQUENCE,Skill,Uncommon,0.0,0.5,10.0,20.0,0.3373819163292862,
BORROWED_TIME,Skill,Uncommon,1.0,1.0,15.0,15.0,0.2530364372469647,
BOUNCING_FLASK,Skill,Uncommon,2.0,2.0,4.5,2.25,0.0379554655870447,
BRAND,Skill,Rare,0.0,0.5,8.931143790849672,17.862287581699345,0.3013206407169268,
BREAK,Attack,Ancient,1.0,1.0,27.5,27.5,0.46390013495276855,
BREAKTHROUGH,Attack,Common,1.0,1.0,8.0,8.0,0.13495276653171448,
BRIGHTEST_FLAME,Skill,Ancient,0.0,0.5,14.0,28.0,0.47233468286100067,
BUBBLE_BUBBLE,Skill,Uncommon,1.0,1.0,13.5,13.5,0.2277327935222682,
BUFFER,Power,Rare,2.0,2.0,1.5,0.75,0.012651821862348233,
BULK_UP,Power,Uncommon,2.0,2.0,6.0,3.0,0.05060728744939293,
BULLET_TIME,Skill,Rare,3.0,3.0,0.0,0.0,0.0,
BULLY,Attack,Uncommon,0.0,0.5,2.0,4.0,0.06747638326585724,
BULWARK,Skill,Uncommon,2.0,2.0,14.0,7.0,0.11808367071525017,
BUNDLE_OF_JOY,Skill,Rare,1.0,1.0,17.431143790849674,17.431143790849674,0.29404763479841006,
BURN,Status,Status,-1.0,,,,,deck_eval_excluded:curse_status
BURNING_PACT,Skill,Uncommon,1.0,1.0,14.431143790849672,14.431143790849672,0.24344034734901712,
BURST,Skill,Rare,1.0,1.0,0.0,0.0,0.0,
BURY,Attack,Uncommon,4.0,4.0,52.0,13.0,0.21929824561403602,
BYRDONIS_EGG,Quest,Quest,-1.0,,,,,deck_eval_excluded:curse_status
BYRD_SWOOP,Attack,Event,0.0,0.5,14.0,28.0,0.47233468286100067,
CACOPHONY,Power,Rare,2.0,,,,,deck_eval_excluded:multiplayer_only
CALAMITY,Power,Rare,3.0,3.0,4.0,1.3333333333333333,0.022492127755285744,
CALCIFY,Power,Uncommon,1.0,1.0,6.0,6.0,0.10121457489878587,
CALCULATED_GAMBLE,Skill,Uncommon,0.0,0.5,0.0,0.0,0.0,
CALL_OF_THE_VOID,Power,Rare,1.0,1.0,7.0,7.0,0.11808367071525017,
CALTROPS,Power,Event,1.0,1.0,4.5,4.5,0.0759109311740894,
CAPACITOR,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
CAPTURE_SPIRIT,Skill,Uncommon,1.0,1.0,24.0,24.0,0.40485829959514347,
CASCADE,Skill,Rare,-1.0,,,,,x_cost_or_negative_cost
CATASTROPHE,Skill,Uncommon,2.0,2.0,6.0,3.0,0.05060728744939293,
CELESTIAL_MIGHT,Attack,Common,2.0,2.0,24.0,12.0,0.20242914979757173,
CHAOS,Skill,Uncommon,1.0,1.0,0.0,0.0,0.0,
CHARGE,Skill,Uncommon,1.0,1.0,40.431143790849674,40.431143790849674,0.6820368385770892,
CHARGE_BATTERY,Skill,Common,1.0,1.0,10.0,10.0,0.1686909581646431,
CHILD_OF_THE_STARS,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
CHILL,Skill,Uncommon,0.0,0.5,2.0,4.0,0.06747638326585724,
CINDER,Attack,Common,2.0,2.0,18.0,9.0,0.1518218623481788,
CLASH,Attack,Event,0.0,0.5,14.0,28.0,0.47233468286100067,
CLAW,Attack,Common,0.0,0.5,3.0,6.0,0.10121457489878587,
CLEANSE,Skill,Uncommon,1.0,1.0,11.431143790849672,11.431143790849672,0.19283305989962418,
CLOAK_AND_DAGGER,Skill,Common,1.0,1.0,9.0,9.0,0.1518218623481788,
CLOAK_OF_STARS,Skill,Common,0.0,0.5,7.0,14.0,0.23616734143050033,
CLUMSY,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
COLD_SNAP,Attack,Common,1.0,1.0,8.0,8.0,0.13495276653171448,
COLLISION_COURSE,Attack,Common,0.0,0.5,8.0,16.0,0.26990553306342896,
COLOSSUS,Skill,Uncommon,1.0,1.0,4.0,4.0,0.06747638326585724,
COMET,Attack,Rare,0.0,0.5,42.0,84.0,1.0,
COMPACT,Skill,Uncommon,1.0,1.0,12.0,12.0,0.20242914979757173,
COMPILE_DRIVER,Attack,Common,1.0,1.0,7.0,7.0,0.11808367071525017,
CONCOCT,Skill,Uncommon,0.0,,,,,deck_eval_excluded:multiplayer_only
CONFLAGRATION,Attack,Rare,1.0,1.0,10.0,10.0,0.1686909581646431,
CONQUEROR,Skill,Uncommon,1.0,1.0,0.6000000000000001,0.6000000000000001,0.010121457489878588,
CONSTELLATION,Skill,Uncommon,0.0,,,,,deck_eval_excluded:multiplayer_only
CONSUMING_SHADOW,Power,Rare,2.0,2.0,3.5,1.75,0.02952091767881254,
CONVERGENCE,Skill,Uncommon,1.0,1.0,4.0,4.0,0.06747638326585724,
COOLANT,Power,Rare,1.0,1.0,3.0,3.0,0.05060728744939293,
COOLHEADED,Skill,Common,1.0,1.0,5.0,5.0,0.08434547908232155,
COORDINATE,Skill,Uncommon,1.0,,,,,deck_eval_excluded:multiplayer_only
CORROSIVE_WAVE,Skill,Rare,1.0,1.0,0.0,0.0,0.0,
CORRUPTION,Power,Ancient,3.0,3.0,4.0,1.3333333333333333,0.022492127755285744,
COSMIC_INDIFFERENCE,Skill,Common,1.0,1.0,14.431143790849672,14.431143790849672,0.24344034734901712,
COUNTDOWN,Power,Uncommon,1.0,1.0,9.0,9.0,0.1518218623481788,
CRASH_LANDING,Attack,Rare,1.0,1.0,19.0,19.0,0.32051282051282187,
CREATIVE_AI,Power,Rare,3.0,3.0,4.0,1.3333333333333333,0.022492127755285744,
CRESCENT_SPEAR,Attack,Common,1.0,1.0,2.0,2.0,0.03373819163292862,
CRIMSON_MANTLE,Power,Rare,1.0,1.0,10.5,10.5,0.17712550607287525,
CRUELTY,Power,Uncommon,1.0,1.0,37.5,37.5,0.6325910931174116,
CRUSH_UNDER,Attack,Common,1.0,1.0,7.0,7.0,0.11808367071525017,
CURSE_OF_THE_BELL,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
DAGGER_SPRAY,Attack,Common,1.0,1.0,4.0,4.0,0.06747638326585724,
DAGGER_THROW,Attack,Common,1.0,1.0,9.0,9.0,0.1518218623481788,
DANSE_MACABRE,Power,Uncommon,1.0,1.0,12.0,12.0,0.20242914979757173,
DARKNESS,Skill,Uncommon,1.0,1.0,2.0,2.0,0.03373819163292862,
DARK_EMBRACE,Power,Rare,2.0,2.0,4.0,2.0,0.03373819163292862,
DARK_SHACKLES,Skill,Uncommon,0.0,0.5,0.0,0.0,0.0,
DASH,Attack,Uncommon,2.0,2.0,20.0,10.0,0.1686909581646431,
DAZED,Status,Status,-1.0,,,,,deck_eval_excluded:curse_status
DEADLY_POISON,Skill,Common,1.0,1.0,7.5,7.5,0.12651821862348234,
DEATHBRINGER,Skill,Uncommon,2.0,2.0,33.0,16.5,0.27834008097166113,
DEATHS_DOOR,Skill,Uncommon,1.0,1.0,6.0,6.0,0.10121457489878587,
DEATH_MARCH,Attack,Uncommon,1.0,1.0,4.0,4.0,0.06747638326585724,
DEBILITATE,Attack,Uncommon,1.0,1.0,13.0,13.0,0.21929824561403602,
DEBRIS,Status,Status,1.0,,,,,deck_eval_excluded:curse_status
DEBT,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
DECAY,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
DECISIONS_DECISIONS,Skill,Rare,0.0,0.5,15.947530864197532,31.895061728395063,0.5380408523683401,
DEFEND_DEFECT,Skill,Basic,1.0,1.0,5.0,5.0,0.08434547908232155,
DEFEND_IRONCLAD,Skill,Basic,1.0,1.0,5.0,5.0,0.08434547908232155,
DEFEND_NECROBINDER,Skill,Basic,1.0,1.0,5.0,5.0,0.08434547908232155,
DEFEND_REGENT,Skill,Basic,1.0,1.0,5.0,5.0,0.08434547908232155,
DEFEND_SILENT,Skill,Basic,1.0,1.0,5.0,5.0,0.08434547908232155,
DEFILE,Attack,Common,1.0,1.0,13.0,13.0,0.21929824561403602,
DEFLECT,Skill,Common,0.0,0.5,4.0,8.0,0.13495276653171448,
DEFRAGMENT,Power,Rare,1.0,1.0,1.5,1.5,0.025303643724696467,
DEFY,Skill,Common,1.0,1.0,7.5,7.5,0.12651821862348234,
DELAY,Skill,Uncommon,2.0,2.0,14.0,7.0,0.11808367071525017,
DEMESNE,Power,Rare,3.0,3.0,10.0,3.3333333333333335,0.05623031938821437,
DEMONIC_SHIELD,Skill,Uncommon,0.0,,,,,deck_eval_excluded:multiplayer_only
DEMON_FORM,Power,Rare,3.0,3.0,4.5,1.5,0.025303643724696467,
DEPRECATED_CARD,Status,Status,0.0,,,,,deck_eval_excluded:curse_status
DEVASTATE,Attack,Uncommon,1.0,1.0,35.0,35.0,0.5904183535762508,
DEVOUR_LIFE,Power,Rare,1.0,1.0,1.5,1.5,0.025303643724696467,
DIRGE,Skill,Uncommon,0.0,,,,,x_cost_or_negative_cost
DISCOVERY,Skill,Uncommon,1.0,1.0,8.431143790849672,8.431143790849672,0.14222577245023124,
DISINTEGRATION,Status,Status,-1.0,,,,,deck_eval_excluded:curse_status
DISMANTLE,Attack,Uncommon,1.0,1.0,8.0,8.0,0.13495276653171448,
DISTRACTION,Skill,Event,1.0,1.0,6.947530864197531,6.947530864197531,0.11719856383599124,
DODGE_AND_ROLL,Skill,Common,1.0,1.0,4.0,4.0,0.06747638326585724,
DOMINATE,Skill,Rare,1.0,1.0,1.5,1.5,0.025303643724696467,
DOUBLE_ENERGY,Skill,Uncommon,1.0,1.0,4.5,4.5,0.0759109311740894,
DOUBT,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
DOWSING,Quest,Quest,-1.0,,,,,x_cost_or_negative_cost
DRAIN_POWER,Attack,Common,1.0,1.0,16.0,16.0,0.26990553306342896,
DRAMATIC_ENTRANCE,Attack,Uncommon,0.0,0.5,11.0,22.0,0.37112010796221484,
DREDGE,Skill,Uncommon,1.0,1.0,17.431143790849674,17.431143790849674,0.29404763479841006,
DRUM_OF_BATTLE,Skill,Uncommon,1.0,1.0,12.0,12.0,0.20242914979757173,
DUALCAST,Skill,Basic,1.0,1.0,0.0,0.0,0.0,
DUAL_WIELD,Skill,Event,1.0,1.0,11.431143790849672,11.431143790849672,0.19283305989962418,
DYING_STAR,Attack,Rare,1.0,1.0,9.0,9.0,0.1518218623481788,
ECHOING_SLASH,Attack,Rare,1.0,1.0,10.0,10.0,0.1686909581646431,
ECHO_FORM,Power,Rare,3.0,3.0,4.0,1.3333333333333333,0.022492127755285744,
EIDOLON,Skill,Rare,2.0,2.0,0.0,0.0,0.0,
END_OF_DAYS,Skill,Rare,3.0,3.0,43.5,14.5,0.2446018893387325,
ENERGY_SURGE,Skill,Uncommon,1.0,,,,,deck_eval_excluded:multiplayer_only
ENFEEBLING_TOUCH,Skill,Uncommon,1.0,1.0,0.0,0.0,0.0,
ENLIGHTENMENT,Skill,Event,0.0,0.5,0.0,0.0,0.0,
ENTHRALLED,Curse,Curse,2.0,,,,,deck_eval_excluded:curse_status
ENTRENCH,Skill,Event,2.0,2.0,0.0,0.0,0.0,
ENTROPY,Power,Rare,1.0,1.0,7.0,7.0,0.11808367071525017,
ENVENOM,Power,Rare,2.0,2.0,1.5,0.75,0.012651821862348233,
EQUILIBRIUM,Skill,Uncommon,2.0,2.0,13.0,6.5,0.10964912280701801,
ERADICATE,Attack,Rare,0.0,,,,,x_cost_or_negative_cost
ESCAPE_PLAN,Skill,Uncommon,0.0,0.5,3.0,6.0,0.10121457489878587,
ETERNAL_ARMOR,Power,Rare,3.0,3.0,13.5,4.5,0.0759109311740894,
EVIL_EYE,Skill,Uncommon,1.0,1.0,8.0,8.0,0.13495276653171448,
EXPECT_AFIGHT,Skill,Uncommon,2.0,2.0,0.0,0.0,0.0,
EXPERTISE,Skill,Uncommon,1.0,1.0,6.0,6.0,0.10121457489878587,
EXPOSE,Skill,Uncommon,0.0,0.5,0.0,0.0,0.0,
EXTERMINATE,Attack,Event,1.0,1.0,15.0,15.0,0.2530364372469647,
FADE,Skill,Uncommon,0.0,,,,,deck_eval_excluded:multiplayer_only
FALLING_STAR,Attack,Basic,0.0,0.5,11.0,22.0,0.37112010796221484,
FAN_OF_KNIVES,Power,Rare,2.0,2.0,16.0,8.0,0.13495276653171448,
FASTEN,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
FEAR,Attack,Common,1.0,1.0,8.5,8.5,0.14338731443994662,
FEED,Attack,Rare,1.0,1.0,16.0,16.0,0.26990553306342896,
FEEDING_FRENZY,Skill,Event,0.0,0.5,7.5,15.0,0.2530364372469647,
FEEL_NO_PAIN,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
FERAL,Power,Uncommon,2.0,2.0,1.5,0.75,0.012651821862348233,
FETCH,Attack,Uncommon,0.0,0.5,6.0,12.0,0.20242914979757173,
FIEND_FIRE,Attack,Rare,2.0,2.0,7.0,3.5,0.05904183535762508,
FIGHT_ME,Attack,Uncommon,2.0,2.0,19.5,9.75,0.16447368421052702,
FIGHT_THROUGH,Skill,Uncommon,1.0,1.0,9.0,9.0,0.1518218623481788,
FINESSE,Skill,Uncommon,0.0,0.5,7.0,14.0,0.23616734143050033,
FINISHER,Attack,Uncommon,1.0,1.0,6.0,6.0,0.10121457489878587,
FISTICUFFS,Attack,Uncommon,1.0,1.0,7.0,7.0,0.11808367071525017,
FLAK_CANNON,Attack,Rare,2.0,2.0,8.0,4.0,0.06747638326585724,
FLAME_BARRIER,Skill,Uncommon,2.0,2.0,12.0,6.0,0.10121457489878587,
FLANKING,Skill,Rare,2.0,,,,,deck_eval_excluded:multiplayer_only
FLASH_OF_STEEL,Attack,Uncommon,0.0,0.5,8.0,16.0,0.26990553306342896,
FLATTEN,Attack,Common,2.0,2.0,12.0,6.0,0.10121457489878587,
FLECHETTES,Attack,Uncommon,1.0,1.0,5.0,5.0,0.08434547908232155,
FLICK_FLACK,Attack,Common,1.0,1.0,7.0,7.0,0.11808367071525017,
FOCUSED_STRIKE,Attack,Common,1.0,1.0,10.5,10.5,0.17712550607287525,
FOLLY,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
FOOTWORK,Power,Uncommon,1.0,1.0,3.0,3.0,0.05060728744939293,
FORBIDDEN_GRIMOIRE,Power,Ancient,2.0,2.0,4.0,2.0,0.03373819163292862,
FOREGONE_CONCLUSION,Skill,Rare,1.0,1.0,6.0,6.0,0.10121457489878587,
FORGOTTEN_RITUAL,Skill,Uncommon,1.0,1.0,9.0,9.0,0.1518218623481788,
FRANTIC_ESCAPE,Status,Status,1.0,,,,,deck_eval_excluded:curse_status
FRIENDSHIP,Power,Uncommon,1.0,1.0,6.0,6.0,0.10121457489878587,
FTL,Attack,Uncommon,0.0,0.5,8.0,16.0,0.26990553306342896,
FUEL,Skill,Token,0.0,0.5,3.0,6.0,0.10121457489878587,
FURNACE,Power,Uncommon,1.0,1.0,3.5,3.5,0.05904183535762508,
FUSION,Skill,Uncommon,1.0,1.0,2.0,2.0,0.03373819163292862,
GAMMA_BLAST,Attack,Uncommon,0.0,0.5,19.0,38.0,0.6410256410256437,
GANG_UP,Attack,Uncommon,1.0,,,,,deck_eval_excluded:multiplayer_only
GATHER_LIGHT,Skill,Common,1.0,1.0,9.0,9.0,0.1518218623481788,
GENESIS,Power,Rare,2.0,2.0,4.0,2.0,0.03373819163292862,
GENETIC_ALGORITHM,Skill,Rare,1.0,1.0,0.0,0.0,0.0,
GIANT_ROCK,Attack,Token,1.0,1.0,20.0,20.0,0.3373819163292862,
GLACIER,Skill,Uncommon,2.0,2.0,10.0,5.0,0.08434547908232155,
GLASSWORK,Skill,Uncommon,1.0,1.0,7.0,7.0,0.11808367071525017,
GLIMMER,Skill,Uncommon,1.0,1.0,17.431143790849674,17.431143790849674,0.29404763479841006,
GLIMPSE_BEYOND,Skill,Rare,1.0,,,,,deck_eval_excluded:multiplayer_only
GLITTERSTREAM,Skill,Common,2.0,2.0,16.0,8.0,0.13495276653171448,
GLOW,Skill,Common,1.0,1.0,4.0,4.0,0.06747638326585724,
GOLD_AXE,Attack,Rare,1.0,1.0,1.0,1.0,0.01686909581646431,
GO_FOR_THE_EYES,Attack,Common,0.0,0.5,4.5,9.0,0.1518218623481788,
GRAND_FINALE,Attack,Rare,0.0,0.5,60.0,120.0,1.0,
GRAVEBLAST,Attack,Common,1.0,1.0,12.431143790849672,12.431143790849672,0.2097021557160885,
GRAVE_WARDEN,Skill,Common,1.0,1.0,23.0,23.0,0.3879892037786791,
GREED,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
GUARDS,Skill,Rare,2.0,2.0,22.431143790849674,11.215571895424837,0.1891965569403658,
GUIDING_STAR,Attack,Common,1.0,1.0,18.0,18.0,0.3036437246963576,
GUILTY,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
GUNK_UP,Attack,Common,1.0,1.0,14.0,14.0,0.23616734143050033,
HAILSTORM,Power,Uncommon,1.0,1.0,9.0,9.0,0.1518218623481788,
HAMMER_TIME,Power,Rare,2.0,,,,,deck_eval_excluded:multiplayer_only
HAND_OF_GREED,Attack,Rare,2.0,2.0,20.0,10.0,0.1686909581646431,
HAND_TRICK,Skill,Uncommon,1.0,1.0,15.431143790849672,15.431143790849672,0.26030944316548144,
HANG,Attack,Rare,1.0,1.0,10.0,10.0,0.1686909581646431,
HAUNT,Power,Uncommon,1.0,1.0,-4.5,-4.5,0.0,
HAVOC,Skill,Common,1.0,1.0,0.0,0.0,0.0,
HAZE,Skill,Uncommon,3.0,3.0,6.0,2.0,0.03373819163292862,
HEADBUTT,Attack,Common,1.0,1.0,17.431143790849674,17.431143790849674,0.29404763479841006,
HEAVENLY_DRILL,Attack,Rare,0.0,,,,,x_cost_or_negative_cost
HEGEMONY,Attack,Uncommon,2.0,2.0,21.0,10.5,0.17712550607287525,
HEIRLOOM_HAMMER,Attack,Rare,2.0,2.0,48.431143790849674,24.215571895424837,0.40849480255440185,
HELIX_DRILL,Attack,Rare,0.0,0.5,3.0,6.0,0.10121457489878587,
HELLO_WORLD,Power,Event,1.0,1.0,2.5,2.5,0.04217273954116078,
HELLRAISER,Power,Rare,2.0,2.0,4.0,2.0,0.03373819163292862,
HEMOKINESIS,Attack,Uncommon,1.0,1.0,13.0,13.0,0.21929824561403602,
HIBERNATE,Skill,Uncommon,2.0,,,,,deck_eval_excluded:multiplayer_only
HIDDEN_CACHE,Skill,Common,1.0,1.0,5.5,5.5,0.09278002699055371,
HIDDEN_DAGGERS,Skill,Uncommon,0.0,0.5,6.0,12.0,0.20242914979757173,
HIDDEN_GEM,Skill,Rare,1.0,1.0,0.0,0.0,0.0,
HIGH_FIVE,Attack,Uncommon,2.0,2.0,14.0,7.0,0.11808367071525017,
HOLOGRAM,Skill,Common,1.0,1.0,11.431143790849672,11.431143790849672,0.19283305989962418,
HOTFIX,Skill,Common,0.0,0.5,3.0,6.0,0.10121457489878587,
HOWL_FROM_BEYOND,Attack,Uncommon,3.0,3.0,18.0,6.0,0.10121457489878587,
HUDDLE_UP,Skill,Uncommon,1.0,,,,,deck_eval_excluded:multiplayer_only
HYPERBEAM,Attack,Rare,2.0,2.0,34.5,17.25,0.29099190283400933,
ICE_LANCE,Attack,Rare,3.0,3.0,78.0,26.0,0.43859649122807204,
IGNITION,Skill,Uncommon,1.0,,,,,deck_eval_excluded:multiplayer_only
IMITATION_LEARNING,Skill,Rare,1.0,,,,,deck_eval_excluded:multiplayer_only
IMPATIENCE,Skill,Uncommon,0.0,0.5,6.0,12.0,0.20242914979757173,
IMPERVIOUS,Skill,Rare,2.0,2.0,30.0,15.0,0.2530364372469647,
INFECTION,Status,Status,-1.0,,,,,deck_eval_excluded:curse_status
INFERNAL_BLADE,Skill,Uncommon,1.0,1.0,11.975846702317291,11.975846702317291,0.20202170550467852,
INFERNO,Power,Uncommon,1.0,1.0,9.0,9.0,0.1518218623481788,
INFINITE_BLADES,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
INFLAME,Power,Uncommon,1.0,1.0,3.0,3.0,0.05060728744939293,
INJURY,Curse,Curse,-1.0,,,,,deck_eval_excluded:curse_status
INTERCEPT,Skill,Uncommon,1.0,,,,,deck_eval_excluded:multiplayer_only
INVOKE,Skill,Common,1.0,1.0,8.0,8.0,0.13495276653171448,
IRON_WAVE,Attack,Common,1.0,1.0,10.0,10.0,0.1686909581646431,
ITERATION,Power,Uncommon,1.0,1.0,3.0,3.0,0.05060728744939293,
I_AM_INVINCIBLE,Skill,Rare,1.0,1.0,10.0,10.0,0.1686909581646431,
JACKPOT,Attack,Rare,3.0,3.0,42.431143790849674,14.143714596949891,0.23859167673667261,
JACK_OF_ALL_TRADES,Skill,Uncommon,0.0,0.5,11.431143790849672,22.862287581699345,0.38566611979924836,
JUGGERNAUT,Power,Rare,2.0,2.0,9.0,4.5,0.0759109311740894,
JUGGLING,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
KINGLY_KICK,Attack,Uncommon,4.0,4.0,27.0,6.75,0.1138663967611341,
KINGLY_PUNCH,Attack,Uncommon,1.0,1.0,8.0,8.0,0.13495276653171448,
KNIFE_TRAP,Skill,Rare,2.0,2.0,0.0,0.0,0.0,
KNOCKDOWN,Attack,Rare,3.0,,,,,deck_eval_excluded:multiplayer_only
KNOCKOUT_BLOW,Attack,Uncommon,3.0,3.0,35.0,11.666666666666666,0.19680611785875027,
KNOW_THY_PLACE,Skill,Common,0.0,0.5,3.0,6.0,0.10121457489878587,
LANTERN_KEY,Quest,Quest,-1.0,,,,,deck_eval_excluded:curse_status
LARGESSE,Skill,Uncommon,0.0,,,,,deck_eval_excluded:multiplayer_only
LEADING_STRIKE,Attack,Common,1.0,1.0,9.0,9.0,0.1518218623481788,
LEAP,Skill,Common,1.0,1.0,9.0,9.0,0.1518218623481788,
LEGION_OF_BONE,Skill,Uncommon,2.0,,,,,deck_eval_excluded:multiplayer_only
LEG_SWEEP,Skill,Uncommon,2.0,2.0,14.0,7.0,0.11808367071525017,
LETHALITY,Power,Uncommon,1.0,1.0,75.0,75.0,1.0,
LIFT,Skill,Uncommon,1.0,,,,,deck_eval_excluded:multiplayer_only
LIGHTNING_ROD,Skill,Common,1.0,1.0,7.0,7.0,0.11808367071525017,
LOOP,Power,Uncommon,1.0,1.0,2.5,2.5,0.04217273954116078,
LUMINESCE,Skill,Token,0.0,0.5,6.0,12.0,0.20242914979757173,
