card_id,class_name,energy_cost,star_cost,is_x_cost,rarity,card_type,target_type,keywords,deck_eval_excluded,exclusion_reason,status,needs_review,damage,extra_damage,block,cards_drawn,energy,repeat_hits,heal,gold,max_hp,hp_loss,forge,stars,summon,applies_power_state,buffs_applied,debuffs_applied,other_powers_applied,card_generation,card_transform,pool_generation,card_tutor,orbs_generated,scales_with_enemy_power,scales_with_self_power,orb_evoked,card_tags,tribal_references,exhaust_pile_reference,discard_pile_reference,exhausts_other_cards,discards_other_cards,sly_keyword,opaque_values,review_snippet,notes
ANGER,Anger,0,,,Common,Attack,AnyEnemy,,,,auto,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANOINTED,Anointed,1,,,Rare,Skill,Self,Exhaust,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTICIPATE,Anticipate,0,,,Common,Skill,Self,,,,auto,,,,,,,,,,,,,,,,DEXTERITY_POWER:2(Counter),,,,,,,,,,,,,,,,,,,,
APOTHEOSIS,Apotheosis,2,,,Ancient,Skill,Self,Exhaust;Innate,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPARITION,Apparition,1,,,Ancient,Skill,Self,Ethereal;Exhaust,,,auto,,,,,,,,,,,,,,,,INTANGIBLE_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
ARMAMENTS,Armaments,1,,,Common,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARSENAL,Arsenal,1,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,ARSENAL_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
ASCENDERS_BANE,AscendersBane,-1,,,Curse,Curse,None,Eternal;Ethereal;Unplayable,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHEN_STRIKE,AshenStrike,1,,,Uncommon,Attack,AnyEnemy,,,,unparsed_residue,TRUE,,3,,,,,,,,,,,,,,,,,,,,,,,,Strike,,TRUE,,,,,CalculationBaseVar:6,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[3] { new CalculationBaseVar(6m), new ExtraDamageVar(3m), new CalculatedDamageVar(ValueProp.Move).WithMultiplier((CardModel card, Creature? _) => PileType.Exhaust.GetPile(card.Owner).Cards.Count) })",
ASSASSINATE,Assassinate,0,,,Rare,Attack,AnyEnemy,Exhaust;Innate,,,auto,,10,,,,,,,,,,,,,,,VULNERABLE_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
ASTRAL_PULSE,AstralPulse,0,3,,Common,Attack,AllEnemies,,,,auto,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUTOMATION,Automation,1,,,Uncommon,Power,Self,,,,auto,,,,,,1,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
BACKFLIP,Backflip,1,,,Common,Skill,Self,,,,auto,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACKSTAB,Backstab,0,,,Uncommon,Attack,AnyEnemy,Exhaust;Innate,,,auto,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAD_LUCK,BadLuck,-1,,,Curse,Curse,None,Eternal;Unplayable,TRUE,curse_status,auto,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,
BALL_LIGHTNING,BallLightning,1,,,Common,Attack,AnyEnemy,,,,auto,,7,,,,,,,,,,,,,,,,,,,,,LightningOrb:1,,,,,,,,,,,,,
BANSHEES_CRY,BansheesCry,9,,,Rare,Attack,AllEnemies,,,,auto,,33,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRAGE,Barrage,1,,,Common,Attack,AnyEnemy,,,,unparsed_residue,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new DamageVar(5m, ValueProp.Move), new CalculationBaseVar(0m), new CalculationExtraVar(1m), new CalculatedVar(""CalculatedHits"").WithMultiplier((CardModel card, Creature? _) => card.Owner.PlayerCombatState.OrbQueue.Orbs.Count) })",
BARRICADE,Barricade,3,,,Rare,Power,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
BASH,Bash,2,,,Basic,Attack,AnyEnemy,,,,auto,,8,,,,,,,,,,,,,,,VULNERABLE_POWER:2(Counter),,,,,,,,,,,,,,,,,,,
BATTLE_TRANCE,BattleTrance,0,,,Uncommon,Skill,Self,,,,auto,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEACON_OF_HOPE,BeaconOfHope,2,,,Rare,Power,Self,,TRUE,multiplayer_only,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
BEAM_CELL,BeamCell,0,,,Common,Attack,AnyEnemy,,,,auto,,3,,,,,,,,,,,,,,,VULNERABLE_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
BEAT_DOWN,BeatDown,3,,,Rare,Skill,RandomEnemy,,,,auto,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAT_INTO_SHAPE,BeatIntoShape,1,,,Rare,Attack,AnyEnemy,,,,unparsed_residue,TRUE,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:5;CalculationExtraVar:5,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new DamageVar(5m, ValueProp.Move), new CalculationBaseVar(5m), new CalculationExtraVar(5m), new CalculatedVar(""CalculatedForge"").WithMultiplier((CardModel card, Creature? target) => CombatManager.Instance.History.Entries.OfType<D",
BECKON,Beckon,1,,,Status,Status,None,,TRUE,curse_status,auto,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
BEGONE,Begone,1,,,Common,Skill,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,MINION_STRIKE:1,,unfiltered:1,,,,,,,,,,,,,,
BELIEVE_IN_YOU,BelieveInYou,0,,,Uncommon,Skill,AnyAlly,,TRUE,multiplayer_only,auto,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIASED_COGNITION,BiasedCognition,1,,,Ancient,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,FOCUS_POWER:4(Counter),BIASED_COGNITION_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
BIG_BANG,BigBang,0,,,Rare,Skill,Self,Exhaust,,,auto,,,,,1,1,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,
BLACK_HOLE,BlackHole,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,BLACK_HOLE_POWER:3(Counter),,,,,,,,,,,,,,,,,,,,
BLADE_DANCE,BladeDance,1,,,Common,Skill,Self,Exhaust,,,auto,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADE_OF_INK,BladeOfInk,1,,,Rare,Skill,Self,,,,auto,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADE_SYMPHONY,BladeSymphony,2,,,Uncommon,Skill,AllAllies,,TRUE,multiplayer_only,auto,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLAZE,Blaze,2,,,Uncommon,Skill,AnyAlly,,TRUE,multiplayer_only,auto,,,,,,,,,,,,,,,,STRENGTH_POWER:5(Counter),,,,,,,,,,,,,,,,,,,,
BLIGHT_STRIKE,BlightStrike,1,,,Common,Attack,AnyEnemy,,,,auto,,8,,,,,,,,,,,,,,,,,,,,,,,,,Strike,,,,,,,,,
BLOODLETTING,Bloodletting,0,,,Uncommon,Skill,Self,,,,auto,,,,,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOD_WALL,BloodWall,2,,,Common,Skill,Self,,,,auto,,,,16,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
BLUDGEON,Bludgeon,3,,,Uncommon,Attack,AnyEnemy,,,,auto,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUR,Blur,1,,,Uncommon,Skill,Self,,,,auto,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blur:1,,
BODYGUARD,Bodyguard,1,,,Basic,Skill,Self,,,,auto,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
BODY_SLAM,BodySlam,1,,,Common,Attack,AnyEnemy,,,,unparsed_residue,TRUE,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[3] { new CalculationBaseVar(0m), new ExtraDamageVar(1m), new CalculatedDamageVar(ValueProp.Move).WithMultiplier((CardModel card, Creature? _) => card.Owner.Creature.Block) })",
BOLAS,Bolas,0,,,Rare,Attack,AnyEnemy,,,,auto,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOMBARDMENT,Bombardment,3,,,Rare,Attack,AnyEnemy,Exhaust,,,auto,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BONE_SHARDS,BoneShards,1,,,Uncommon,Attack,AllEnemies,,,,auto,,9,,9,,,,,,,,,,,,,,,,,,,,,,,OstyAttack,,,,,,,,,
BOOST_AWAY,BoostAway,0,,,Common,Skill,Self,,,,auto,,,,6,,,,,,,,,,,,,,,DAZED:1,,,,,,,,,,,,,,,,,
BOOT_SEQUENCE,BootSequence,0,,,Uncommon,Skill,Self,Exhaust;Innate,,,auto,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORROWED_TIME,BorrowedTime,1,,,Uncommon,Skill,Self,,,,auto,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUNCING_FLASK,BouncingFlask,2,,,Uncommon,Skill,RandomEnemy,,,,auto,,,,,,,3,,,,,,,,,,POISON_POWER:3(Counter),,,,,,,,,,,,,,,,,,,
BRAND,Brand,0,,,Rare,Skill,Self,,,,auto,,,,,,,,,,,1,,,,,STRENGTH_POWER:1(Counter),,,,,,unfiltered:1,,,,,,,,,TRUE,,,,,
BREAK,Break,1,,,Ancient,Attack,AnyEnemy,,,,auto,,20,,,,,,,,,,,,,,,VULNERABLE_POWER:5(Counter),,,,,,,,,,,,,,,,,,,
BREAKTHROUGH,Breakthrough,1,,,Common,Attack,AllEnemies,,,,auto,,9,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
BRIGHTEST_FLAME,BrightestFlame,0,,,Ancient,Skill,Self,,,,auto,,,,,2,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
BUBBLE_BUBBLE,BubbleBubble,1,,,Uncommon,Skill,AnyEnemy,,,,auto,,,,,,,,,,,,,,,,,POISON_POWER:9(Counter),,,,,,,POISON_POWER,,,,,,,,,,,,
BUFFER,Buffer,2,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,BUFFER_POWER:1(Counter),,,,,,,,,,,,,,,,,,,,
BULK_UP,BulkUp,2,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,STRENGTH_POWER:2(Counter);DEXTERITY_POWER:2(Counter),,,,,,,,,,,,,,,,,,OrbSlots:1,,
BULLET_TIME,BulletTime,3,,,Rare,Skill,Self,,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLY,Bully,0,,,Uncommon,Attack,AnyEnemy,,,,unparsed_residue,TRUE,,2,,,,,,,,,,,,,,,,,,,,,VULNERABLE_POWER,,,,,,,,,,CalculationBaseVar:4,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[3] { new CalculationBaseVar(4m), new ExtraDamageVar(2m), new CalculatedDamageVar(ValueProp.Move).WithMultiplier((CardModel _, Creature? target) => target?.GetPowerAmount<VulnerablePower>() ?? 0) })",
BULWARK,Bulwark,2,,,Uncommon,Skill,Self,,,,auto,,,,12,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
BUNDLE_OF_JOY,BundleOfJoy,1,,,Rare,Skill,Self,Exhaust,,,auto,,,,,3,,,,,,,,,,,,,,,,pool:ColorlessCardPool:1,,,,,,,,,,,,,,,
BURN,Burn,-1,,,Status,Status,None,Unplayable,TRUE,curse_status,auto,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BURNING_PACT,BurningPact,1,,,Uncommon,Skill,Self,,,,auto,,,,,2,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,TRUE,,,,,
BURST,Burst,1,,,Rare,Skill,Self,,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skills:1,,
BURY,Bury,4,,,Uncommon,Attack,AnyEnemy,,,,auto,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYRDONIS_EGG,ByrdonisEgg,-1,,,Quest,Quest,None,Unplayable,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYRD_SWOOP,ByrdSwoop,0,,,Event,Attack,AnyEnemy,,,,auto,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACOPHONY,Cacophony,2,,,Rare,Power,Self,,TRUE,multiplayer_only,auto,,66,,,33,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
CALAMITY,Calamity,3,,,Rare,Power,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
CALCIFY,Calcify,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,CALCIFY_POWER:4(Counter),,,,,,,,,,,,,,,,,,,,
CALCULATED_GAMBLE,CalculatedGamble,0,,,Uncommon,Skill,Self,Exhaust,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
CALL_OF_THE_VOID,CallOfTheVoid,1,,,Rare,Power,Self,,,,auto,,,,,1,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
CALTROPS,Caltrops,1,,,Event,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,THORNS_POWER:3(Counter),,,,,,,,,,,,,,,,,,,,
CAPACITOR,Capacitor,1,,,Uncommon,Power,Self,,,,auto,,,,,,,2,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
CAPTURE_SPIRIT,CaptureSpirit,1,,,Uncommon,Skill,AnyEnemy,,,,auto,TRUE,3,,,3,,,,,,,,,,,,,,SOUL:1?,,,,,,,,,,,,,,,,,
CASCADE,Cascade,-1,,TRUE,Rare,Skill,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATASTROPHE,Catastrophe,2,,,Uncommon,Skill,Self,,,,auto,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CELESTIAL_MIGHT,CelestialMight,2,,,Common,Attack,AnyEnemy,,,,auto,,6,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAOS,Chaos,1,,,Uncommon,Skill,Self,,,,auto,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARGE,Charge,1,,,Uncommon,Skill,Self,,,,auto,TRUE,,,,2,,,,,,,,,,,,,,,MINION_DIVE_BOMB:1?,,unfiltered:1,,,,,,,,,,,,,,
CHARGE_BATTERY,ChargeBattery,1,,,Common,Skill,Self,,,,auto,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILD_OF_THE_STARS,ChildOfTheStars,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,BlockForStars:2,,
CHILL,Chill,0,,,Uncommon,Skill,Self,Exhaust,,,no_canonical_vars,TRUE,,,,,,,,,,,,,,,,,,,,,,FrostOrb:1?,,,,,,,,,,,,,
CINDER,Cinder,2,,,Common,Attack,AnyEnemy,,,,auto,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
CLASH,Clash,0,,,Event,Attack,AnyEnemy,,,,auto,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAW,Claw,0,,,Common,Attack,AnyEnemy,,,,auto,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Increase:2,,
CLEANSE,Cleanse,1,,,Uncommon,Skill,Self,,,,auto,,,,,,,,,,,,,,3,,,,,,,,unfiltered:1,,,,,,,,,TRUE,,,,,
CLOAK_AND_DAGGER,CloakAndDagger,1,,,Common,Skill,Self,,,,auto,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOAK_OF_STARS,CloakOfStars,0,1,,Common,Skill,Self,,,,auto,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLUMSY,Clumsy,-1,,,Curse,Curse,None,Ethereal;Unplayable,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLD_SNAP,ColdSnap,1,,,Common,Attack,AnyEnemy,,,,auto,,6,,,,,,,,,,,,,,,,,,,,,FrostOrb:1,,,,,,,,,,,,,
COLLISION_COURSE,CollisionCourse,0,,,Common,Attack,AnyEnemy,,,,auto,,10,,,,,,,,,,,,,,,,,DEBRIS:1,,,,,,,,,,,,,,,,,
COLOSSUS,Colossus,1,,,Uncommon,Skill,Self,,,,auto,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colossus:1,,
COMET,Comet,0,5,,Rare,Attack,AnyEnemy,,,,auto,,33,,,,,,,,,,,,,,,VULNERABLE_POWER:3(Counter);WEAK_POWER:3(Counter),,,,,,,,,,,,,,,,,,,
COMPACT,Compact,1,,,Uncommon,Skill,Self,,,,auto,TRUE,,,6,,,,,,,,,,,,,,,,FUEL:1?,,,,,,,,,,,,,,,,
COMPILE_DRIVER,CompileDriver,1,,,Common,Attack,AnyEnemy,,,,unparsed_residue,TRUE,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:0;CalculationExtraVar:1,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[4] { new DamageVar(7m, ValueProp.Move), new CalculationBaseVar(0m), new CalculationExtraVar(1m), new CalculatedVar(""CalculatedCards"").WithMultiplier((CardModel card, Creature? _) => (from orb in card.Owner.PlayerCombatState.OrbQueue.O",
CONCOCT,Concoct,0,,,Uncommon,Skill,AnyAlly,,TRUE,multiplayer_only,auto,,,,,,,,,,,,,,,,CONCOCT_POWER:3(Counter),,,,,,,,,,,,,,,,,,,,
CONFLAGRATION,Conflagration,1,,,Rare,Attack,AllEnemies,,,,auto,,2,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONQUEROR,Conqueror,1,,,Uncommon,Skill,AnyEnemy,,,,auto,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
CONSTELLATION,Constellation,0,2,,Uncommon,Skill,AnyAlly,,TRUE,multiplayer_only,auto,,,,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMING_SHADOW,ConsumingShadow,2,,,Rare,Power,Self,,,,auto,TRUE,,,,,,2,,,,,,,,TRUE,CONSUMING_SHADOW_POWER:1(Counter),,,,,,,DarkOrb:1?,,,,,,,,,,,,,
CONVERGENCE,Convergence,1,,,Uncommon,Skill,Self,,,,auto,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
COOLANT,Coolant,1,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,COOLANT_POWER:2(Counter),,,,,,,,,,,,,,,,,,,,
COOLHEADED,Coolheaded,1,,,Common,Skill,Self,,,,auto,,,,,1,,,,,,,,,,,,,,,,,,FrostOrb:1,,,,,,,,,,,,,
COORDINATE,Coordinate,1,,,Uncommon,Skill,AnyAlly,,TRUE,multiplayer_only,auto,,,,,,,,,,,,,,,,STRENGTH_POWER:5(Counter),,,,,,,,,,,,,,,,,,,,
CORROSIVE_WAVE,CorrosiveWave,1,,,Rare,Skill,Self,,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CorrosiveWave:2,,
CORRUPTION,Corruption,3,,,Ancient,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,Power:1,,
COSMIC_INDIFFERENCE,CosmicIndifference,1,,,Common,Skill,Self,,,,auto,,,,6,,,,,,,,,,,,,,,,,,unfiltered:1,,,,,,,,,,,,,,
COUNTDOWN,Countdown,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,COUNTDOWN_POWER:6(Counter),,,,,,,,,,,,,,,,,,,,
CRASH_LANDING,CrashLanding,1,,,Rare,Attack,AllEnemies,,,,auto,TRUE,21,,,,,,,,,,,,,,,,,DEBRIS:1?,,,,,,,,,,,,,,,,,
CREATIVE_AI,CreativeAi,3,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,CreativeAi:1,,
CRESCENT_SPEAR,CrescentSpear,1,1,,Common,Attack,AnyEnemy,,,,unparsed_residue,TRUE,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CalculationBaseVar:8,"new global::_003C_003Ez__ReadOnlyArray<DynamicVar>(new DynamicVar[3] { new CalculationBaseVar(8m), new ExtraDamageVar(2m), new CalculatedDamageVar(ValueProp.Move).WithMultiplier((CardModel card, Creature? _) => card.Owner.PlayerCombatState.AllCards.Count((CardModel c) => c.CanonicalStarCost >= 0 || ",
CRIMSON_MANTLE,CrimsonMantle,1,,,Rare,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,CRIMSON_MANTLE_POWER:7(Counter),,,,,,,,,,,,,,,,,,,,
CRUELTY,Cruelty,1,,,Uncommon,Power,Self,,,,auto,,,,,,,,,,,,,,,TRUE,CRUELTY_POWER:25(Counter),,,,,,,,,,,,,,,,,,,,
CRUSH_UNDER,CrushUnder,1,,,Common,Attack,AllEnemies,,,,auto,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StrengthLoss:1,,
CURSE_OF_THE_BELL,CurseOfTheBell,-1,,,Curse,Curse,None,Eternal;Unplayable,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAGGER_SPRAY,DaggerSpray,1,,,Common,Attack,AllEnemies,,,,auto,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAGGER_THROW,DaggerThrow,1,,,Common,Attack,AnyEnemy,,,,auto,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
DANSE_MACABRE,DanseMacabre,1,,,Uncommon,Power,Self,,,,auto,,,,,,2,,,,,,,,,TRUE,DANSE_MACABRE_POWER:4(Counter),,,,,,,,,,,,,,,,,,,,
DARKNESS,Darkness,1,,,Uncommon,Skill,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,DarkOrb:1,,,,,,,,,,,,,
DARK_EMBRACE,DarkEmbrace,2,,,Rare,Power,Self,,,,no_canonical_vars,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
DARK_SHACKLES,DarkShackles,0,,,Uncommon,Skill,AnyEnemy,Exhaust,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,StrengthLoss:9,,
DASH,Dash,2,,,Uncommon,Attack,AnyEnemy,,,,auto,,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAZED,Dazed,-1,,,Status,Status,None,Ethereal;Unplayable,TRUE,curse_status,no_canonical_vars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLY_POISON,DeadlyPoison,1,,,Common,Skill,AnyEnemy,,,,auto,,,,,,,,,,,,,,,,,POISON_POWER:5(Counter),,,,,,,,,,,,,,,,,,,
DEATHBRINGER,Deathbringer,2,,,Uncommon,Skill,AllEnemies,,,,auto,,,,,,,,,,,,,,,,,DOOM_POWER:21(Counter);WEAK_POWER:1(Counter),,,,,,,,,,,,,,,,,,,
DEATHS_DOOR,DeathsDoor,1,,,Uncommon,Skill,Self,,,,auto,,,,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
